student_id,engagement_score,test1_grade,persona_quadrant,persona_kmeans,lifespan,outcome
50,0.1043,3,Engaged achiever,High eng / high grades,4,Completed
51,-0.185,4,Detached achiever,Low eng / high grades,3,Left after Test 3
52,-0.5666,3,Detached achiever,Low eng / high grades,4,Administrative dropout
53,-0.0239,1,Disengaged,Low eng / low grades,4,Completed
54,-0.1836,1,Disengaged,Low eng / low grades,4,Completed
55,0.3317,4,Engaged achiever,High eng / high grades,4,Completed
56,0.2248,0,Engaged struggler,High eng / low grades,4,Completed
57,-0.5952,0,Disengaged,Low eng / low grades,4,Completed
58,-0.8042,1,Disengaged,Low eng / low grades,1,Left after Test 1
59,0.1009,1,Engaged struggler,High eng / low grades,4,Completed
60,-0.2183,4,Detached achiever,Low eng / high grades,3,Left after Test 3
61,-0.6856,4,Detached achiever,Low eng / high grades,2,Left after Test 2
62,-0.4772,0,Disengaged,Low eng / low grades,4,Administrative dropout
63,0.7817,0,Engaged struggler,High eng / low grades,4,Completed
64,0.5103,1,Engaged struggler,High eng / low grades,4,Completed
65,-0.9898,4,Detached achiever,Low eng / high grades,4,Completed
66,-0.6031,3,Detached achiever,Low eng / high grades,3,Left after Test 3
67,-0.0662,0,Disengaged,Low eng / low grades,4,Completed
68,-0.3244,4,Detached achiever,Low eng / high grades,4,Administrative dropout
69,-0.8226,2,Disengaged,Low eng / low grades,1,Left after Test 1
70,0.1796,1,Engaged struggler,High eng / low grades,4,Completed
71,-0.3235,1,Disengaged,Low eng / low grades,2,Left after Test 2
72,1.5889,4,Engaged achiever,High eng / high grades,2,Left after Test 2
73,0.0044,4,Detached achiever,High eng / high grades,4,Completed
74,-0.241,4,Detached achiever,Low eng / high grades,4,Completed
75,0.8273,3,Engaged achiever,High eng / high grades,4,Completed
76,-0.2767,0,Disengaged,Low eng / low grades,4,Completed
77,-0.166,1,Disengaged,Low eng / low grades,4,Completed
78,-1.0851,4,Detached achiever,Low eng / high grades,4,Completed
79,-0.3089,1,Disengaged,Low eng / low grades,4,Completed
80,1.3263,4,Engaged achiever,High eng / high grades,2,Left after Test 2
81,1.1157,2,Engaged struggler,High eng / low grades,4,Administrative dropout
82,1.3147,1,Engaged struggler,High eng / low grades,2,Left after Test 2
83,-0.5696,0,Disengaged,Low eng / low grades,4,Administrative dropout
84,-0.1816,2,Disengaged,Low eng / low grades,4,Completed
85,0.0139,3,Engaged achiever,High eng / high grades,4,Completed
86,0.3951,4,Engaged achiever,High eng / high grades,4,Completed
87,-0.5092,1,Disengaged,Low eng / low grades,1,Left after Test 1
88,-0.0773,2,Disengaged,Low eng / low grades,2,Left after Test 2
89,-1.0266,3,Detached achiever,Low eng / high grades,4,Completed
90,0.7668,4,Engaged achiever,High eng / high grades,4,Completed
91,0.1683,0,Engaged struggler,High eng / low grades,4,Completed
92,0.0735,4,Engaged achiever,High eng / high grades,4,Completed
93,1.3928,4,Engaged achiever,High eng / high grades,2,Left after Test 2
94,0.8514,1,Engaged struggler,High eng / low grades,4,Completed
95,0.0227,1,Engaged struggler,Low eng / low grades,4,Completed
96,0.9709,3,Engaged achiever,High eng / high grades,4,Completed
97,-0.6028,2,Disengaged,Low eng / low grades,3,Left after Test 3
98,0.2864,0,Engaged struggler,High eng / low grades,4,Completed
99,0.0595,0,Engaged struggler,Low eng / low grades,4,Completed
100,-0.454,1,Disengaged,Low eng / low grades,4,Administrative dropout
101,0.2285,1,Engaged struggler,High eng / low grades,4,Completed
102,-0.6387,1,Disengaged,Low eng / low grades,2,Left after Test 2
103,0.3464,0,Engaged struggler,High eng / low grades,4,Completed
104,0.1492,1,Engaged struggler,High eng / low grades,4,Administrative dropout
105,0.7721,0,Engaged struggler,High eng / low grades,4,Completed
106,-1.1765,4,Detached achiever,Low eng / high grades,4,Completed
107,-0.2863,3,Detached achiever,Low eng / high grades,4,Completed
108,0.9889,2,Engaged struggler,High eng / low grades,2,Left after Test 2
109,1.1365,0,Engaged struggler,High eng / low grades,4,Completed
110,-0.023,3,Detached achiever,High eng / high grades,4,Completed
111,0.6691,2,Engaged struggler,High eng / low grades,2,Left after Test 2
112,-0.4411,4,Detached achiever,Low eng / high grades,3,Left after Test 3
113,0.058,0,Engaged struggler,Low eng / low grades,4,Completed
114,-0.1276,0,Disengaged,Low eng / low grades,3,Left after Test 3
115,-0.1889,3,Detached achiever,Low eng / high grades,4,Completed
116,-0.0261,1,Disengaged,Low eng / low grades,4,Completed
117,-0.4469,4,Detached achiever,Low eng / high grades,4,Administrative dropout
118,-0.1834,3,Detached achiever,Low eng / high grades,3,Left after Test 3
119,-0.2322,2,Disengaged,Low eng / low grades,4,Completed
120,-0.8093,1,Disengaged,Low eng / low grades,2,Left after Test 2
121,1.524,0,Engaged struggler,High eng / low grades,2,Left after Test 2
122,-0.4944,0,Disengaged,Low eng / low grades,4,Completed
123,-0.7505,1,Disengaged,Low eng / low grades,2,Left after Test 2
124,-0.2336,1,Disengaged,Low eng / low grades,4,Completed
125,0.9096,2,Engaged struggler,High eng / low grades,4,Administrative dropout
126,1.4676,2,Engaged struggler,High eng / low grades,2,Left after Test 2
127,-0.6295,4,Detached achiever,Low eng / high grades,4,Administrative dropout
128,-0.6839,1,Disengaged,Low eng / low grades,3,Left after Test 3
129,0.0884,2,Engaged struggler,Low eng / low grades,1,Left after Test 1
130,0.0373,2,Engaged struggler,Low eng / low grades,4,Completed
131,0.5725,4,Engaged achiever,High eng / high grades,4,Administrative dropout
132,-0.0919,3,Detached achiever,High eng / high grades,4,Completed
133,-0.9819,4,Detached achiever,Low eng / high grades,4,Completed
134,-0.7414,2,Disengaged,Low eng / low grades,1,Left after Test 1
135,-0.0099,0,Disengaged,Low eng / low grades,4,Completed
136,-0.6599,4,Detached achiever,Low eng / high grades,4,Administrative dropout
137,-0.2159,2,Disengaged,Low eng / low grades,2,Left after Test 2
138,-0.1465,0,Disengaged,Low eng / low grades,4,Completed
139,-0.6779,3,Detached achiever,Low eng / high grades,2,Left after Test 2
140,-0.0904,2,Disengaged,Low eng / low grades,4,Completed
141,-0.5138,0,Disengaged,Low eng / low grades,3,Left after Test 3
142,0.8646,2,Engaged struggler,High eng / low grades,4,Completed
143,1.4345,1,Engaged struggler,High eng / low grades,2,Left after Test 2
144,-0.1281,2,Disengaged,Low eng / low grades,4,Completed
145,-0.4795,4,Detached achiever,Low eng / high grades,4,Administrative dropout
146,0.334,4,Engaged achiever,High eng / high grades,4,Completed
147,0.4652,0,Engaged struggler,High eng / low grades,4,Completed
148,0.2488,1,Engaged struggler,High eng / low grades,4,Completed
149,-0.4453,3,Detached achiever,Low eng / high grades,2,Left after Test 2
150,0.1194,0,Engaged struggler,High eng / low grades,4,Completed
151,0.1373,3,Engaged achiever,High eng / high grades,4,Administrative dropout
152,-0.66,1,Disengaged,Low eng / low grades,1,Left after Test 1
153,-0.4038,2,Disengaged,Low eng / low grades,4,Administrative dropout
154,-0.6357,1,Disengaged,Low eng / low grades,3,Left after Test 3
155,-0.7218,4,Detached achiever,Low eng / high grades,4,Administrative dropout
156,-0.4444,1,Disengaged,Low eng / low grades,1,Left after Test 1
157,0.5808,2,Engaged struggler,High eng / low grades,4,Completed
158,0.7517,1,Engaged struggler,High eng / low grades,4,Completed
159,-0.1327,2,Disengaged,Low eng / low grades,4,Completed
160,-1.1425,1,Disengaged,Low eng / low grades,1,Left after Test 1
161,-0.4777,3,Detached achiever,Low eng / high grades,4,Completed
162,0.4652,3,Engaged achiever,High eng / high grades,4,Completed
163,-0.5386,1,Disengaged,Low eng / low grades,3,Left after Test 3
164,-1.0441,4,Detached achiever,Low eng / high grades,4,Completed
165,1.1598,0,Engaged struggler,High eng / low grades,2,Left after Test 2
166,-0.9946,0,Disengaged,Low eng / low grades,4,Completed
167,-0.2156,2,Disengaged,Low eng / low grades,4,Administrative dropout
168,-0.282,4,Detached achiever,Low eng / high grades,4,Completed
169,-0.577,0,Disengaged,Low eng / low grades,4,Administrative dropout
170,0.8287,1,Engaged struggler,High eng / low grades,4,Completed
171,0.1138,4,Engaged achiever,High eng / high grades,4,Completed
172,0.8049,1,Engaged struggler,High eng / low grades,4,Completed
173,0.176,1,Engaged struggler,High eng / low grades,4,Completed
174,-0.1945,4,Detached achiever,Low eng / high grades,4,Completed
175,-0.2465,2,Disengaged,Low eng / low grades,2,Left after Test 2
176,-0.6966,1,Disengaged,Low eng / low grades,4,Completed
177,0.2966,1,Engaged struggler,High eng / low grades,4,Completed
178,-1.012,4,Detached achiever,Low eng / high grades,4,Completed
179,-0.4279,0,Disengaged,Low eng / low grades,3,Left after Test 3
180,-0.9111,4,Detached achiever,Low eng / high grades,2,Left after Test 2
181,-0.0197,3,Detached achiever,High eng / high grades,4,Completed
182,0.2032,1,Engaged struggler,High eng / low grades,4,Completed
183,-0.3086,0,Disengaged,Low eng / low grades,3,Left after Test 3
184,-0.0005,4,Detached achiever,High eng / high grades,4,Completed
185,0.7015,4,Engaged achiever,High eng / high grades,2,Left after Test 2
186,0.0368,1,Engaged struggler,Low eng / low grades,4,Completed
187,0.9051,4,Engaged achiever,High eng / high grades,2,Left after Test 2
188,0.6908,2,Engaged struggler,High eng / low grades,4,Completed
189,0.2492,3,Engaged achiever,High eng / high grades,4,Completed
190,-0.3334,4,Detached achiever,Low eng / high grades,4,Completed
191,0.6602,4,Engaged achiever,High eng / high grades,4,Completed
192,0.339,4,Engaged achiever,High eng / high grades,4,Completed
193,-0.4314,4,Detached achiever,Low eng / high grades,3,Left after Test 3
194,-0.1928,1,Disengaged,Low eng / low grades,4,Completed
195,0.4788,1,Engaged struggler,High eng / low grades,4,Completed
196,0.6272,2,Engaged struggler,High eng / low grades,4,Completed
197,-0.7903,4,Detached achiever,Low eng / high grades,4,Administrative dropout
198,-0.3778,4,Detached achiever,Low eng / high grades,4,Completed
199,-0.0675,4,Detached achiever,High eng / high grades,4,Completed
200,0.6342,1,Engaged struggler,High eng / low grades,4,Administrative dropout
201,-0.4893,4,Detached achiever,Low eng / high grades,2,Left after Test 2
202,-0.5854,4,Detached achiever,Low eng / high grades,3,Left after Test 3
203,0.3345,1,Engaged struggler,High eng / low grades,4,Completed
204,-1.1097,4,Detached achiever,Low eng / high grades,4,Completed
205,0.0145,0,Engaged struggler,Low eng / low grades,4,Completed
206,0.2416,1,Engaged struggler,High eng / low grades,4,Completed
207,1.0672,4,Engaged achiever,High eng / high grades,4,Completed
208,1.1819,4,Engaged achiever,High eng / high grades,2,Left after Test 2
209,-0.5881,3,Detached achiever,Low eng / high grades,4,Administrative dropout
210,-0.9391,4,Detached achiever,Low eng / high grades,4,Administrative dropout
211,1.4077,4,Engaged achiever,High eng / high grades,2,Left after Test 2
212,-0.2021,4,Detached achiever,Low eng / high grades,4,Administrative dropout
213,-0.9073,1,Disengaged,Low eng / low grades,2,Left after Test 2
214,0.1131,0,Engaged struggler,High eng / low grades,4,Completed
215,0.1108,4,Engaged achiever,High eng / high grades,4,Completed
216,-0.1301,2,Disengaged,Low eng / low grades,2,Left after Test 2
217,-1.1515,4,Detached achiever,Low eng / high grades,4,Completed
218,0.1126,1,Engaged struggler,High eng / low grades,4,Completed
219,1.2134,1,Engaged struggler,High eng / low grades,4,Completed
220,0.0997,0,Engaged struggler,High eng / low grades,4,Completed
221,0.1004,3,Engaged achiever,High eng / high grades,4,Completed
222,0.3601,4,Engaged achiever,High eng / high grades,4,Completed
223,0.1828,0,Engaged struggler,High eng / low grades,4,Completed
224,0.0095,0,Engaged struggler,Low eng / low grades,4,Completed
225,-0.5801,4,Detached achiever,Low eng / high grades,4,Administrative dropout
226,-0.1795,1,Disengaged,Low eng / low grades,4,Completed
227,-0.5623,2,Disengaged,Low eng / low grades,4,Completed
228,0.4828,4,Engaged achiever,High eng / high grades,4,Administrative dropout
229,0.2829,0,Engaged struggler,High eng / low grades,4,Completed
230,0.0774,4,Engaged achiever,High eng / high grades,4,Completed
231,-0.9721,1,Disengaged,Low eng / low grades,1,Left after Test 1
232,-0.201,4,Detached achiever,Low eng / high grades,4,Administrative dropout
233,-0.6665,0,Disengaged,Low eng / low grades,1,Left after Test 1
234,-0.8326,2,Disengaged,Low eng / low grades,2,Left after Test 2
235,0.8376,4,Engaged achiever,High eng / high grades,2,Left after Test 2
236,0.2922,4,Engaged achiever,High eng / high grades,4,Completed
237,0.4613,1,Engaged struggler,High eng / low grades,4,Administrative dropout
238,-0.2984,4,Detached achiever,Low eng / high grades,4,Administrative dropout
239,1.4469,1,Engaged struggler,High eng / low grades,2,Left after Test 2
240,0.1552,4,Engaged achiever,High eng / high grades,3,Left after Test 3
241,0.2594,1,Engaged struggler,High eng / low grades,4,Completed
242,-0.1595,3,Detached achiever,Low eng / high grades,4,Completed
243,-0.2366,4,Detached achiever,Low eng / high grades,4,Completed
244,0.4873,1,Engaged struggler,High eng / low grades,4,Completed
245,0.5357,0,Engaged struggler,High eng / low grades,1,Left after Test 1
246,0.9012,1,Engaged struggler,High eng / low grades,4,Completed
247,0.0143,3,Engaged achiever,High eng / high grades,4,Completed
248,0.1347,3,Engaged achiever,High eng / high grades,4,Completed
249,1.0035,0,Engaged struggler,High eng / low grades,4,Administrative dropout
250,0.0286,2,Engaged struggler,Low eng / low grades,4,Completed
251,-0.1871,4,Detached achiever,Low eng / high grades,4,Completed
252,0.2932,4,Engaged achiever,High eng / high grades,4,Completed
253,0.0191,0,Engaged struggler,Low eng / low grades,4,Completed
254,-0.5644,1,Disengaged,Low eng / low grades,3,Left after Test 3
255,-0.0994,0,Disengaged,Low eng / low grades,4,Completed
256,0.6026,4,Engaged achiever,High eng / high grades,4,Completed
257,-1.1102,4,Detached achiever,Low eng / high grades,4,Completed
258,0.9759,1,Engaged struggler,High eng / low grades,4,Completed
259,-0.3951,1,Disengaged,Low eng / low grades,2,Left after Test 2
260,0.9694,1,Engaged struggler,High eng / low grades,4,Completed
261,-0.2279,0,Disengaged,Low eng / low grades,1,Left after Test 1
262,0.8833,0,Engaged struggler,High eng / low grades,4,Completed
263,0.6275,0,Engaged struggler,High eng / low grades,4,Completed
264,-0.9045,2,Disengaged,Low eng / low grades,4,Administrative dropout
265,-0.8148,2,Disengaged,Low eng / low grades,4,Completed
266,-0.3731,1,Disengaged,Low eng / low grades,3,Left after Test 3
267,-0.0413,0,Disengaged,Low eng / low grades,4,Completed
268,1.1071,1,Engaged struggler,High eng / low grades,4,Completed
269,0.6009,1,Engaged struggler,High eng / low grades,4,Completed
270,0.097,3,Engaged achiever,High eng / high grades,4,Completed
271,-0.2942,0,Disengaged,Low eng / low grades,3,Left after Test 3
272,0.7183,2,Engaged struggler,High eng / low grades,4,Administrative dropout
273,0.5674,4,Engaged achiever,High eng / high grades,4,Administrative dropout
274,-0.0757,1,Disengaged,Low eng / low grades,4,Administrative dropout
275,0.145,3,Engaged achiever,High eng / high grades,4,Completed
276,-1.2076,0,Disengaged,Low eng / low grades,4,Completed
277,0.0542,0,Engaged struggler,Low eng / low grades,4,Completed
278,0.6015,2,Engaged struggler,High eng / low grades,4,Completed
279,1.0625,3,Engaged achiever,High eng / high grades,4,Administrative dropout
280,-0.1638,0,Disengaged,Low eng / low grades,3,Left after Test 3
281,0.0926,0,Engaged struggler,High eng / low grades,4,Administrative dropout
282,-0.5015,0,Disengaged,Low eng / low grades,1,Left after Test 1
283,-0.3446,3,Detached achiever,Low eng / high grades,4,Administrative dropout
284,-0.8222,0,Disengaged,Low eng / low grades,1,Left after Test 1
285,0.5835,3,Engaged achiever,High eng / high grades,4,Completed
286,-0.9456,0,Disengaged,Low eng / low grades,1,Left after Test 1
287,0.4257,4,Engaged achiever,High eng / high grades,4,Completed
288,-0.5007,3,Detached achiever,Low eng / high grades,4,Administrative dropout
289,-0.5789,1,Disengaged,Low eng / low grades,2,Left after Test 2
290,-1.1278,2,Disengaged,Low eng / high grades,1,Left after Test 1
291,0.2668,0,Engaged struggler,High eng / low grades,4,Completed
292,1.3154,2,Engaged struggler,High eng / low grades,2,Left after Test 2
293,-0.4206,4,Detached achiever,Low eng / high grades,2,Left after Test 2
294,0.0364,4,Engaged achiever,High eng / high grades,4,Completed
295,-0.0346,4,Detached achiever,High eng / high grades,4,Completed
296,-1.0588,4,Detached achiever,Low eng / high grades,4,Completed
297,0.2942,4,Engaged achiever,High eng / high grades,4,Completed
298,0.4778,2,Engaged struggler,High eng / low grades,4,Completed
299,-0.3146,2,Disengaged,Low eng / low grades,2,Left after Test 2
300,-0.2662,1,Disengaged,Low eng / low grades,4,Administrative dropout
301,-1.1409,0,Disengaged,Low eng / low grades,1,Left after Test 1
302,0.0719,3,Engaged achiever,High eng / high grades,4,Administrative dropout
303,-0.0707,4,Detached achiever,High eng / high grades,4,Administrative dropout
304,-0.6173,4,Detached achiever,Low eng / high grades,2,Left after Test 2
305,0.2828,3,Engaged achiever,High eng / high grades,4,Administrative dropout
306,-0.3536,4,Detached achiever,Low eng / high grades,4,Completed
307,0.2813,1,Engaged struggler,High eng / low grades,4,Completed
308,-0.8318,1,Disengaged,Low eng / low grades,3,Left after Test 3
309,1.4408,2,Engaged struggler,High eng / low grades,2,Left after Test 2
310,0.5302,1,Engaged struggler,High eng / low grades,4,Completed
311,-0.2568,3,Detached achiever,Low eng / high grades,3,Left after Test 3
312,2.2221,2,Engaged struggler,High eng / low grades,2,Left after Test 2
313,0.0993,1,Engaged struggler,High eng / low grades,4,Completed
314,-0.0401,4,Detached achiever,High eng / high grades,2,Left after Test 2
315,-0.276,0,Disengaged,Low eng / low grades,3,Left after Test 3
316,0.1859,1,Engaged struggler,High eng / low grades,4,Completed
317,-0.7148,2,Disengaged,Low eng / low grades,1,Left after Test 1
318,-0.2193,3,Detached achiever,Low eng / high grades,4,Completed
319,-0.3982,2,Disengaged,Low eng / low grades,4,Completed
320,0.2732,3,Engaged achiever,High eng / high grades,4,Completed
321,0.1719,1,Engaged struggler,High eng / low grades,4,Completed
322,0.514,2,Engaged struggler,High eng / low grades,4,Administrative dropout
323,-0.9509,1,Disengaged,Low eng / low grades,1,Left after Test 1
324,-0.176,4,Detached achiever,Low eng / high grades,2,Left after Test 2
325,-0.6802,1,Disengaged,Low eng / low grades,2,Left after Test 2
326,0.2323,3,Engaged achiever,High eng / high grades,4,Completed
327,-0.29,4,Detached achiever,Low eng / high grades,2,Left after Test 2
328,-0.9822,0,Disengaged,Low eng / low grades,4,Completed
329,0.3241,0,Engaged struggler,High eng / low grades,4,Completed
330,-0.0647,4,Detached achiever,High eng / high grades,4,Completed
331,0.4902,4,Engaged achiever,High eng / high grades,4,Completed
332,-0.8823,2,Disengaged,Low eng / low grades,2,Left after Test 2
333,-0.3921,4,Detached achiever,Low eng / high grades,4,Completed
334,0.0577,2,Engaged struggler,Low eng / low grades,4,Completed
335,0.247,0,Engaged struggler,High eng / low grades,4,Completed
336,1.217,4,Engaged achiever,High eng / high grades,2,Left after Test 2
337,-0.5576,1,Disengaged,Low eng / low grades,1,Left after Test 1
338,-0.9583,3,Detached achiever,Low eng / high grades,3,Left after Test 3
339,0.6528,2,Engaged struggler,High eng / low grades,4,Completed
340,-0.4228,4,Detached achiever,Low eng / high grades,4,Completed
341,-1.0561,3,Detached achiever,Low eng / high grades,4,Completed
342,-0.6061,4,Detached achiever,Low eng / high grades,3,Left after Test 3
343,-0.4961,2,Disengaged,Low eng / low grades,4,Administrative dropout
344,0.0933,0,Engaged struggler,High eng / low grades,4,Completed
345,0.068,0,Engaged struggler,Low eng / low grades,4,Completed
346,-1.1027,3,Detached achiever,Low eng / high grades,4,Completed
347,0.083,0,Engaged struggler,High eng / low grades,4,Completed
348,0.0135,4,Engaged achiever,High eng / high grades,4,Completed
349,0.5326,2,Engaged struggler,High eng / low grades,4,Completed
350,0.6557,3,Engaged achiever,High eng / high grades,4,Completed
351,-0.745,2,Disengaged,Low eng / low grades,2,Left after Test 2
352,0.1861,3,Engaged achiever,High eng / high grades,4,Completed
353,0.1025,0,Engaged struggler,High eng / low grades,4,Completed
354,-0.5983,3,Detached achiever,Low eng / high grades,4,Completed
355,0.4211,3,Engaged achiever,High eng / high grades,4,Completed
356,0.1112,1,Engaged struggler,High eng / low grades,3,Left after Test 3
357,0.2659,3,Engaged achiever,High eng / high grades,4,Completed
358,0.0178,3,Engaged achiever,High eng / high grades,4,Completed
359,0.7972,2,Engaged struggler,High eng / low grades,4,Completed
360,-0.803,1,Disengaged,Low eng / low grades,2,Left after Test 2
361,0.3946,4,Engaged achiever,High eng / high grades,2,Left after Test 2
362,-0.4877,4,Detached achiever,Low eng / high grades,4,Administrative dropout
363,0.6587,4,Engaged achiever,High eng / high grades,4,Completed
364,-0.5956,4,Detached achiever,Low eng / high grades,4,Administrative dropout
365,-0.0308,4,Detached achiever,High eng / high grades,4,Completed
366,0.3812,0,Engaged struggler,High eng / low grades,4,Completed
367,1.047,2,Engaged struggler,High eng / low grades,2,Left after Test 2
368,0.7108,0,Engaged struggler,High eng / low grades,4,Completed
369,-0.5837,1,Disengaged,Low eng / low grades,1,Left after Test 1
370,0.0799,3,Engaged achiever,High eng / high grades,4,Completed
371,-0.4518,1,Disengaged,Low eng / low grades,4,Completed
372,0.7693,1,Engaged struggler,High eng / low grades,4,Completed
373,-1.2592,3,Detached achiever,Low eng / high grades,4,Completed
374,0.2201,1,Engaged struggler,High eng / low grades,4,Completed
375,-1.1561,0,Disengaged,Low eng / low grades,4,Completed
376,-0.2646,0,Disengaged,Low eng / low grades,1,Left after Test 1
377,-0.0344,4,Detached achiever,High eng / high grades,4,Administrative dropout
378,0.9894,0,Engaged struggler,High eng / low grades,4,Completed
379,-1.1486,4,Detached achiever,Low eng / high grades,4,Completed
380,-0.3407,1,Disengaged,Low eng / low grades,4,Administrative dropout
381,-1.0898,4,Detached achiever,Low eng / high grades,4,Completed
382,0.0291,4,Engaged achiever,High eng / high grades,4,Completed
383,-0.4771,1,Disengaged,Low eng / low grades,4,Administrative dropout
384,0.4625,0,Engaged struggler,High eng / low grades,4,Completed
385,-0.4379,2,Disengaged,Low eng / low grades,2,Left after Test 2
386,-0.6167,2,Disengaged,Low eng / low grades,2,Left after Test 2
387,-0.0123,4,Detached achiever,High eng / high grades,4,Completed
388,0.3642,0,Engaged struggler,High eng / low grades,4,Completed
389,-1.1556,0,Disengaged,Low eng / low grades,1,Left after Test 1
390,0.3548,3,Engaged achiever,High eng / high grades,4,Completed
391,-1.0245,4,Detached achiever,Low eng / high grades,4,Completed
392,-0.7718,4,Detached achiever,Low eng / high grades,3,Left after Test 3
393,-0.6192,1,Disengaged,Low eng / low grades,4,Administrative dropout
394,-0.6146,4,Detached achiever,Low eng / high grades,4,Completed
395,-0.8042,2,Disengaged,Low eng / low grades,2,Left after Test 2
396,0.4147,3,Engaged achiever,High eng / high grades,4,Completed
397,-0.5358,4,Detached achiever,Low eng / high grades,4,Completed
398,-0.0064,2,Disengaged,Low eng / low grades,4,Completed
399,0.9877,1,Engaged struggler,High eng / low grades,4,Completed
400,0.5077,0,Engaged struggler,High eng / low grades,4,Completed
401,-0.4321,4,Detached achiever,Low eng / high grades,4,Administrative dropout
402,-0.2244,4,Detached achiever,Low eng / high grades,4,Administrative dropout
403,0.048,2,Engaged struggler,Low eng / low grades,4,Completed
404,0.7237,3,Engaged achiever,High eng / high grades,4,Completed
405,0.3928,4,Engaged achiever,High eng / high grades,4,Administrative dropout
406,-0.0074,3,Detached achiever,High eng / high grades,4,Completed
407,-0.1692,4,Detached achiever,Low eng / high grades,4,Completed
408,0.5695,4,Engaged achiever,High eng / high grades,4,Completed
409,-0.4886,0,Disengaged,Low eng / low grades,4,Administrative dropout
410,0.7278,0,Engaged struggler,High eng / low grades,4,Completed
411,0.3033,4,Engaged achiever,High eng / high grades,4,Administrative dropout
412,-0.159,1,Disengaged,Low eng / low grades,4,Completed
413,0.4512,4,Engaged achiever,High eng / high grades,4,Completed
414,0.2294,3,Engaged achiever,High eng / high grades,4,Completed
415,0.1844,4,Engaged achiever,High eng / high grades,4,Completed
416,-1.0218,4,Detached achiever,Low eng / high grades,4,Completed
417,0.0229,4,Engaged achiever,High eng / high grades,4,Completed
418,1.1492,3,Engaged achiever,High eng / high grades,4,Administrative dropout
419,-1.058,4,Detached achiever,Low eng / high grades,4,Completed
420,-1.0387,0,Disengaged,Low eng / low grades,4,Completed
421,0.3899,3,Engaged achiever,High eng / high grades,4,Completed
422,0.3662,2,Engaged struggler,High eng / low grades,4,Completed
